AreaSize,ID,Sex,Japanese,Math,Science
,1242,1,70,61,84
,1243,1,82,61,68
,1244,1,79,69,48
,1245,2,76,47,64
,1246,2,82,72,64
,1247,1,64,53,28
,1248,1,88,86,72
,1249,2,97,94,88
,1250,2,82,67,56
,1251,2,73,58,36
,1252,2,79,64,68
,1253,2,67,72,44
,1254,2,64,56,32
,1255,2,85,64,40
,1256,2,94,78,56
,1257,1,58,50,20
,1258,1,79,72,56
,1259,2,73,64,44
,1260,1,48,33,52
,1261,2,70,81,36
,1262,2,85,47,32
,1263,2,79,64,32
,1264,2,85,69,52
,1265,1,82,69,56
,1266,2,58,44,56
,1267,2,52,39,32
,1268,1,73,83,52
,1269,1,88,92,72
,1270,2,76,67,56
,1271,2,79,58,32
,1272,2,91,83,84
,1273,1,64,33,36
,1274,1,85,86,84
,1275,1,55,28,24
,1276,1,67,47,72
,1277,1,91,72,60
,1278,1,61,42,40
,1279,2,64,61,52
,1280,2,76,81,56
,1281,2,61,47,40
,1282,1,70,67,52
,1283,1,91,69,56
,1284,1,91,86,72
,1285,1,94,75,76
,1286,2,97,100,80
,1287,1,61,53,44
,1288,2,64,28,52
,1289,1,91,83,68
,1290,2,82,89,68
,1291,1,79,61,40
,1292,1,88,72,64
,1293,2,94,89,68
,1294,2,64,36,48
,1295,2,85,78,72
,1296,2,73,81,76
,1297,2,58,19,8
,1298,1,76,89,60
,1299,1,76,72,36
,1300,2,64,56,36
,1301,2,91,78,84
,1302,2,85,47,48
,1303,1,97,78,52
,1304,1,85,75,68
,1305,2,91,89,84
,1306,1,91,86,52
,1307,1,88,58,72
,1308,1,76,64,56
,1309,1,70,47,52
,1310,2,91,89,80
,1311,1,58,44,40
,1312,1,61,61,52
,1313,1,82,42,60
,1314,1,79,72,44
,1315,1,88,83,72
,1316,1,42,42,12
,1317,1,76,56,40
,1318,2,94,89,88
,1319,1,82,69,40
,1320,1,76,58,44
,1321,2,76,81,68
,1322,1,79,86,76
,1323,2,94,86,56
,1324,2,85,78,24
,1325,2,58,44,52
,1326,1,82,86,60
,1327,2,79,50,76
,1328,2,91,72,48
,1329,2,70,53,40
,1330,1,82,61,68
,1331,2,82,61,24
,1332,1,88,78,84
,1333,2,85,81,60
,1334,2,85,69,52
,1335,2,45,44,12
,1336,1,39,28,16
,1337,1,79,78,68
,1338,2,97,86,68
,1339,1,88,83,80
,1340,1,82,81,44
,1341,2,85,53,44
,1342,1,82,83,80
,1343,1,88,78,80
,1344,2,79,42,32
,1345,1,82,53,60
,1346,1,88,72,48
,1347,2,79,42,36
,1348,2,94,83,64
,1349,1,73,61,72
,1350,1,70,53,44
,1351,1,64,86,60
,1352,2,39,31,28
,1353,1,82,42,40
,1354,2,67,61,40
,1355,1,79,78,56
,1356,2,42,58,44
,1357,2,33,31,12
,1358,2,70,39,24
,1359,1,70,61,48
,1360,2,58,64,36
,1361,2,45,42,
,1362,2,73,58,48
,1363,1,73,33,40
,1364,1,91,78,36
,1365,2,85,83,48
,1366,2,88,86,76
,1367,2,52,,28
,1368,2,45,25,20
,1369,2,73,64,44
,1370,2,61,39,32
,1371,2,76,56,56
,1372,1,58,31,48
,1373,2,100,81,64
,1374,1,91,61,
,1375,2,97,89,76
,1376,1,88,81,80
,1377,2,97,81,80
,1378,1,85,69,48
,1379,2,79,39,36
,1380,1,91,44,48
,1381,1,61,28,28
,1382,1,85,67,40
,1383,1,76,64,36
,1384,2,91,86,72
,1385,1,76,61,40
,1386,1,61,75,52
,1387,1,61,31,20
,1388,1,88,67,56
,1389,2,55,61,44
,1390,1,58,58,40
,1391,1,100,81,84
,1392,1,82,72,64
,1393,2,70,67,52
,1394,1,73,53,36
,1395,1,76,86,56
,1396,1,58,64,44
,1397,1,64,50,36
,1398,2,79,69,52
,1399,1,88,83,76
,1400,2,82,58,44
,1401,2,97,86,72
,1402,2,67,56,60
,1403,2,94,69,48
,1404,1,76,89,76
,1405,1,45,14,20
,1406,2,61,61,56
,1407,1,97,78,76
,1408,2,67,42,32
,1409,2,85,47,52
,1410,2,79,83,40
,1411,1,76,81,56
,1412,1,82,67,56
,1413,1,82,81,72
,1414,2,70,58,48
,1415,2,85,72,72
,1416,1,58,44,28
,1417,2,64,58,56
,1418,1,67,39,32
,1419,1,85,81,44
,1420,1,85,86,88
,1421,1,73,58,64
,1422,1,94,92,80
,1423,1,88,75,56
,1424,2,64,28,24
,1425,2,67,61,52
,1426,1,82,83,64
,1427,1,82,78,64
,1428,2,82,92,92
,1429,2,85,86,64
,1430,1,88,67,48
,1431,2,70,56,40
,1432,1,55,53,20
,1433,1,55,44,40
,1434,1,70,69,56
,1435,1,70,50,56
,1436,1,88,83,84
,1437,2,61,44,24
,1438,2,85,58,68
,1439,2,97,89,72
,1440,2,61,67,64
,1441,1,61,39,40
,1442,2,70,47,52
,1443,1,67,61,36
,1444,2,79,72,52
,1445,2,67,78,72
,1446,1,70,72,60
,1447,1,55,31,40
,1448,1,67,50,44
,1449,1,58,31,24
,1450,2,67,58,48
,1451,1,73,44,48
,1452,2,79,67,48
,1453,1,85,78,68
,1454,1,70,53,40
,1455,1,85,58,36
,1456,1,85,81,56
,1457,2,58,47,40
,1458,1,67,83,60
,1459,2,82,42,56
,1460,2,67,72,52
,1461,1,70,42,40
,1462,1,67,22,24
,1463,2,82,64,32
,1464,1,85,72,52
,1465,2,76,56,52
,1466,1,82,83,44
,1467,2,97,97,88
,1468,1,82,78,52
,1469,2,70,44,52
,1470,1,73,61,28
,1471,2,85,86,52
,1472,1,39,28,32
,1473,2,76,58,28
,1474,1,73,64,56
,1475,2,64,44,32
,1476,1,91,89,72
,1477,2,82,81,64
,1478,1,67,61,52
,1479,2,91,83,60
,1480,2,91,81,60
,1481,2,42,42,36
,1482,2,88,78,76
,1483,2,67,61,48
,1484,2,94,86,56
,1485,1,70,42,56
,1486,2,52,64,44
,1487,1,100,72,64
,1488,2,82,64,44
,1489,1,48,36,20
,1490,1,85,53,40
,1491,2,76,64,40
,1492,2,94,83,76
,1493,1,82,61,32
,1494,2,52,58,44
,1495,2,61,47,32
,1496,2,85,39,32
,1497,1,64,64,32
,1498,2,79,72,68
,1499,2,58,58,56
,1500,1,76,61,60
,1501,2,76,58,32
,1502,1,94,81,80
,1503,1,82,64,44
,1504,1,61,75,40
,1505,1,79,81,72
,1506,2,82,64,68
,1507,2,61,69,48
,1508,2,82,81,72
,1509,1,55,78,44
,1510,2,79,44,56
,1511,1,76,72,52
,1512,1,79,44,20
,1513,2,88,78,80
,1514,2,85,64,60
,1515,1,91,81,72
,1516,2,67,53,24
,1517,2,58,44,28
,1518,2,70,42,32
,1519,1,94,83,80
,1520,1,55,42,48
,1521,2,70,56,40
,1522,1,45,47,48
,1523,1,52,64,52
,1524,2,79,75,56
,1525,2,64,61,60
,1526,1,97,89,76
,1527,2,70,64,56
,1528,2,91,72,60
,1529,2,82,53,40
,1530,2,45,50,44
,1531,1,85,67,64
,1532,1,79,56,60
,1533,2,79,67,48
,1534,1,76,58,28
,1535,2,76,56,44
,1536,2,91,42,36
,1537,2,45,36,20
,1538,1,52,33,36
,1539,1,85,75,36
,1540,2,79,72,44
,1541,2,64,61,44
,1542,2,88,83,68
,1543,1,76,81,52
,1544,1,61,47,60
,1545,2,91,78,44
,1546,1,85,69,52
,1547,1,94,92,80
,1548,2,85,50,44
,1549,2,64,36,24
,1550,1,76,42,28
,1551,2,82,72,72
,1552,1,73,61,32
,1553,1,70,53,32
,1554,1,94,92,76
,1555,2,85,86,64
,1556,2,76,25,20
,1557,2,94,86,76
,1558,2,82,78,68
,1559,2,91,89,84
,1560,2,73,31,32
,1561,2,88,42,48
,1562,1,,86,56
,1563,1,73,53,40
,1564,1,82,78,40
,,1,73,44,60
,1566,1,97,92,76
,1567,2,91,83,80
,1568,1,97,67,56
,1569,1,88,81,72
,1570,2,52,42,20
,1571,1,58,42,28
,1572,1,82,86,80
,1573,1,39,11,16
,1574,2,88,75,64
,1575,1,48,19,28
,1576,1,79,72,48
,1577,1,82,69,56
,1578,1,91,78,60
,1579,2,94,81,64
,1580,2,55,19,28
,1581,1,73,64,44
,1582,2,88,83,60
,1583,1,58,61,52
,1584,2,94,83,76
,1585,2,85,67,56
,1586,2,70,64,36
,1587,2,42,25,40
,1588,1,94,86,72
,1589,2,76,53,60
,1590,1,64,53,44
,1591,2,94,89,96
,1592,1,76,67,56
,1593,1,91,81,80
,1594,2,67,47,28
,1595,1,88,94,72
,1596,1,70,28,56
,1597,2,70,58,40
,1598,2,21,22,12
,1599,2,79,58,64
,1600,1,58,39,28
,1601,1,67,47,32
,1602,2,94,78,84
,1603,2,91,64,68
,1604,1,79,61,44
,1605,1,73,69,64
,1606,1,79,72,44
,1607,2,64,39,20
,1608,1,82,83,92
,1609,2,70,58,44
,1610,1,85,72,56
,1611,1,76,86,72
,1612,1,85,81,72
,1613,1,52,33,72
,1614,2,48,42,52
,1615,2,82,81,72
,1616,1,85,39,32
,1617,1,39,33,20
,1618,2,82,78,68
,1619,2,88,83,68
,1620,2,64,39,64
,1621,2,85,75,72
,1622,1,91,83,84
,1623,1,94,86,84
,1624,2,76,75,68
,1625,2,48,47,36
,1626,2,85,56,52
,1627,2,70,67,44
,1628,1,55,31,32
,1629,2,67,53,44
,1630,2,82,64,40
,1631,1,85,78,76
,1632,2,94,89,76
,1633,1,55,42,24
,1634,2,67,53,44
,1635,2,88,67,88
,1636,1,94,94,88
,1637,2,94,97,96
,,1,91,75,68
,1639,1,79,58,44
,1640,2,94,86,76
,1641,2,88,,56
,1642,1,61,42,36
,1643,2,79,78,64
,1644,1,64,64,44
,1645,2,70,50,36
,,2,85,50,44
,1647,1,45,58,28
,1648,1,79,78,
,1649,2,64,64,28
,1650,1,94,69,80
,1651,1,82,75,56
,1652,1,85,64,56
,1653,1,73,56,36
,1654,2,76,53,60
,1655,2,88,89,64
,1656,1,94,89,52
,1657,1,70,75,68
,1658,2,55,33,24
,1659,1,73,67,36
,1660,1,82,64,48
,1661,1,82,47,52
,1662,2,85,50,28
,1663,1,79,75,52
,1664,2,91,61,60
,1665,2,91,89,92
,1666,1,85,78,60
,1667,1,58,25,28
,1668,2,76,75,44
,1669,2,42,36,32
,1670,1,79,75,40
,1671,2,76,53,32
,1672,1,79,67,68
,1673,2,67,44,32
,1674,2,70,47,28
,1675,2,82,61,60
,1676,1,85,81,68
,1677,2,70,69,64
,1678,2,55,67,60
,1679,2,42,64,60
,1680,1,64,36,28
,1681,2,85,69,80
,1682,2,70,31,32
,1683,2,64,78,52
,1684,1,64,50,68
,1685,1,94,83,44
,1686,2,76,61,64
,1687,1,70,78,60
,1688,1,76,31,60
,1689,1,67,64,40
,1690,2,97,97,88
,1691,1,64,50,56
,1692,1,82,61,40
,1693,1,67,42,24
,1694,2,97,92,80
,1695,1,61,39,24
,1696,2,82,50,56
,1697,1,73,75,52
,1698,2,79,69,56
,1699,2,67,67,56
,1700,2,70,67,80
,1701,2,85,42,72
,1702,1,76,58,60
,1703,1,97,100,76
,1704,2,85,44,88
,1705,2,91,56,44
,1706,2,64,53,12
,1707,1,79,81,72
,1708,1,82,56,60
,1709,2,100,81,80
,1710,1,61,64,40
,1711,2,76,75,60
,1712,2,73,72,24
,1713,1,70,69,60
,1714,1,64,33,40
,1715,2,58,33,32
,1716,1,70,61,64
,1717,1,33,36,8
,1718,1,55,53,20
,1719,2,85,92,80
,1720,1,55,47,32
,1721,1,67,56,64
,1722,2,73,61,44
,1723,1,85,86,72
,1724,2,70,39,28
,1725,2,64,42,32
,1726,2,88,75,72
,1727,2,91,67,56
,1728,2,76,53,44
,1729,2,88,86,96
,1730,1,70,61,48
,1731,2,85,72,56
,1732,2,88,75,64
,1733,2,88,81,88
,1734,2,70,58,48
,1735,1,82,64,52
,1736,2,76,58,48
,1737,1,97,83,60
,1738,2,88,44,20
,1739,2,85,89,76
,1740,1,85,72,68
,1741,2,79,67,84
,1742,1,94,92,80
,1743,2,48,33,12
,1744,1,61,33,28
,1745,2,73,47,32
,1746,2,42,53,20
,1747,1,42,33,32
,1748,2,91,83,64
,1749,2,58,61,32
,1750,2,73,58,56
,1751,1,64,69,36
,1752,1,91,81,88
,1753,1,52,28,28
,1754,1,73,56,28
,1755,1,67,81,80
,1756,1,73,61,32
,1757,1,76,47,56
,1758,2,64,61,60
,1759,2,48,44,36
,1760,1,88,61,72
,1761,1,58,39,40
,1762,2,82,58,48
,1763,1,76,81,28
,1764,2,85,83,60
,1765,2,94,92,68
,1766,2,94,78,88
,1767,2,70,86,64
,1768,2,88,69,48
,1769,1,67,64,64
,1770,1,76,44,68
,1771,2,61,22,12
,1772,2,52,31,36
,1773,1,61,44,28
,1774,2,67,53,44
,1775,2,42,22,44
,1776,2,100,83,72
,1777,1,88,69,60
,1778,2,94,92,80
,1779,1,85,61,52
,1780,1,91,64,68
,1781,1,85,61,72
,1782,1,52,67,36
,1783,2,76,78,52
,1784,2,73,67,52
,1785,1,64,58,40
,1786,2,70,75,68
,1787,2,82,75,60
,1788,1,73,69,44
,1789,1,91,89,64
,1790,1,82,89,64
,1791,1,85,81,76
,1792,2,61,56,28
,1793,2,88,78,76
,1794,1,55,64,48
,1795,2,61,44,28
,1796,2,70,47,68
,1797,2,85,89,72
,1798,1,76,53,40
,1799,2,91,89,68
,1800,2,70,33,52
,1801,2,79,83,68
,1802,1,36,39,32
,1803,2,58,33,16
,1804,2,79,72,64
,1805,2,67,42,28
,1806,1,67,89,60
,1807,1,67,44,56
,1808,1,91,47,44
,1809,1,52,19,28
,1810,1,94,92,84
,1811,1,79,56,60
,1812,1,76,67,56
,1813,2,82,31,24
,1814,1,91,81,72
,1815,2,85,67,64
,1816,1,82,92,72
,1817,1,52,44,32
,1818,2,73,56,28
,1819,1,79,56,48
,1820,1,58,50,36
,1821,2,67,28,32
,1822,2,55,47,24
,1823,1,82,58,32
,1824,2,61,58,60
,1825,2,70,67,64
,1826,1,70,44,44
,1827,2,94,94,92
,1828,1,85,69,64
,1829,1,88,67,64
,1830,2,55,42,28
,1831,1,88,61,40
,1832,1,88,75,60
,1833,1,73,56,44
,1834,2,67,83,48
,1835,1,61,25,12
,1836,2,88,94,80
,1837,1,58,69,44
,1838,1,67,67,32
,1839,1,85,64,60
,1840,1,73,53,56
,1841,2,88,92,88
,1842,1,91,69,60
,1843,1,64,42,40
,1844,2,79,78,68
,1845,2,79,47,56
,1846,2,55,33,28
,1847,1,70,56,56
,1848,2,88,67,56
,1849,1,70,75,76
,1850,2,97,94,72
,1851,2,61,78,56
,1852,1,70,58,56
,1853,2,70,67,28
,1854,1,70,67,32
,1855,1,55,53,28
,1856,2,82,75,52
,1857,2,76,75,68
,1858,2,76,81,56
,1859,1,52,33,12
,1860,1,58,50,16
,1861,2,70,33,40
,1862,1,82,61,
,1863,1,97,78,60
,1864,2,73,33,28
,1865,1,91,61,76
,1866,1,85,56,44
,1867,1,88,67,68
,1868,1,42,50,44
,1869,2,79,50,48
,1870,1,85,72,40
,1871,2,82,64,36
,1872,2,79,67,32
,1873,2,55,61,64
,1874,2,88,94,52
,1875,1,88,61,44
,1876,,70,42,56
,1877,2,97,75,68
,1878,2,82,50,72
,1879,1,85,83,68
,1880,2,85,56,72
,1881,1,67,39,40
,1882,2,82,86,80
,1883,2,85,69,68
,1884,2,94,64,72
,1885,2,85,75,44
,1886,2,39,36,28
,1887,1,70,64,44
,1888,2,79,58,44
,1889,2,73,89,64
,1890,1,70,33,36
,1891,2,94,86,80
,1892,1,73,67,56
,1893,1,88,67,56
,1894,2,79,78,52
,1895,1,82,39,44
,1896,2,73,47,44
,1897,1,94,72,68
,1898,2,88,64,48
,1899,1,70,78,48
,1900,2,88,81,84
,1901,2,70,47,36
,1902,1,91,50,36
,1903,1,82,72,52
,1904,1,61,64,24
,1905,2,79,61,56
,1906,2,76,64,72
,1907,2,76,53,40
,1908,2,67,75,52
,1909,1,67,53,40
,1910,1,67,69,44
,1911,2,88,64,60
,1912,1,55,53,20
,1913,2,73,50,52
,1914,2,58,39,12
,1915,1,73,53,40
,1916,1,76,78,76
,1917,2,73,64,52
,1918,2,82,72,56
,1919,1,73,64,40
,1920,2,79,75,60
,1921,1,33,36,24
,1922,2,67,44,24
,1923,2,33,28,36
,1924,2,67,75,56
,1925,1,70,75,76
,1926,2,73,31,40
,1927,1,88,47,56
,1928,2,85,69,80
,1929,2,76,78,60
,1930,2,88,36,16
,1931,1,97,78,64
,1932,2,88,72,72
,1933,1,88,67,44
,1934,2,58,33,52
,1935,1,73,86,60
,1936,1,79,67,40
,1937,1,82,86,56
,1938,1,88,69,72
,1939,2,91,83,84
,1940,2,76,50,40
,1941,2,73,92,60
,1942,1,64,67,32
,1943,1,85,81,68
,1944,1,79,83,64
,1945,2,88,81,60
,1946,1,61,47,28
,1947,2,48,44,32
,1948,1,91,97,84
,1949,2,67,33,52
,1950,1,76,42,24
,1951,2,70,81,80
,1952,2,76,47,20
,1953,1,70,64,64
,1954,2,73,58,56
,1955,1,79,75,68
,1956,2,85,81,52
,1957,2,45,22,40
,1958,1,64,75,48
,1959,2,52,39,20
,1960,2,88,69,60
,1961,1,88,72,68
,1962,1,64,64,44
,1963,2,88,64,64
,1964,2,42,44,24
,1965,1,70,53,52
,1966,1,76,69,68
,1967,1,70,81,72
,1968,1,82,58,44
,1969,1,85,78,48
,1970,2,79,67,32
,1971,2,88,86,72
,1972,1,64,67,60
,1973,2,70,83,72
,1974,1,67,78,56
,1975,2,88,67,44
,1976,1,61,33,32
,1977,2,94,89,84
,1978,1,73,44,44
,1979,2,88,75,60
,1980,1,85,83,60
,1981,2,97,78,80
,1982,1,85,83,76
,1983,1,85,67,48
,1984,2,70,72,60
,1985,2,70,42,40
,1986,1,79,83,56
,1987,1,76,72,52
,1988,1,70,69,40
,1989,1,64,44,52
,1990,1,76,42,32
,1991,2,58,64,76
,1992,2,79,89,80
,1993,2,82,81,40
,1994,2,76,67,44
,1995,1,61,64,48
,1996,2,73,69,44
,1997,2,97,86,88
,1998,1,73,50,56
,1999,1,94,75,68
,2000,2,82,81,76
