AreaSize,ID,Sex,Japanese,Math,Science
,291,1,94,86,76
,292,2,79,53,44
,293,1,97,69,84
,294,2,52,42,28
,295,1,79,56,28
,296,2,76,64,48
,297,1,67,67,60
,298,2,48,39,12
,299,1,91,72,68
,300,2,82,75,76
,301,1,85,86,72
,302,1,94,44,52
,303,1,67,86,72
,304,1,73,47,32
,305,2,97,94,88
,306,2,64,56,44
,307,2,73,67,28
,308,2,88,67,68
,309,2,94,64,84
,310,1,85,92,68
,311,1,58,64,40
,312,1,85,53,60
,313,2,82,64,60
,314,2,73,58,36
,315,2,82,58,36
,316,1,61,67,28
,317,2,82,44,40
,318,1,67,64,56
,319,1,73,67,24
,320,2,91,94,92
,321,1,91,81,68
,322,2,82,78,48
,323,1,42,42,44
,324,2,58,50,40
,325,2,76,50,36
,326,2,85,69,76
,327,1,67,58,48
,328,1,91,97,80
,329,1,73,78,56
,330,2,94,94,100
,331,1,79,56,52
,332,1,55,58,48
,333,1,94,92,76
,334,2,76,50,36
,335,2,82,89,76
,336,1,70,58,64
,337,1,45,33,24
,338,2,88,83,76
,339,1,79,64,68
,340,2,76,83,68
,341,1,82,81,60
,342,1,91,92,92
,343,1,88,78,80
,344,1,85,92,76
,345,1,67,72,40
,346,2,70,58,72
,347,1,67,56,36
,348,2,64,39,40
,349,1,,78,76
,350,1,85,67,68
,351,1,85,81,68
,352,1,85,78,48
,353,2,67,47,48
,354,1,85,75,48
,355,2,48,28,12
,356,1,94,92,76
,357,1,67,64,40
,358,2,85,89,84
,359,2,82,50,44
,360,2,85,61,56
,361,2,73,75,80
,362,1,61,31,24
,363,2,67,58,24
,364,2,67,58,60
,365,1,58,53,60
,366,1,82,89,72
,367,1,82,81,84
,368,2,88,56,60
,369,2,79,75,32
,370,2,73,61,68
,371,2,97,86,76
,372,2,70,31,48
,373,2,82,33,32
,374,2,97,86,84
,375,2,79,92,64
,376,1,82,75,76
,377,2,79,75,68
,378,1,85,58,40
,379,2,91,67,52
,380,2,79,75,64
,381,2,67,44,40
,382,2,85,67,40
,383,1,61,64,48
,384,1,73,56,52
,385,1,48,61,32
,386,1,64,61,40
,387,2,70,58,40
,388,2,82,83,52
,389,2,76,61,32
,390,1,79,58,56
,391,1,88,92,80
,392,1,67,61,56
,393,1,88,89,80
,394,2,73,67,72
,395,2,73,81,72
,396,2,70,78,68
,397,1,67,47,36
,398,1,70,47,28
,399,2,58,42,12
,400,1,64,33,40
,401,2,79,53,40
,402,2,85,92,52
,403,1,91,81,68
,404,1,58,67,40
,405,2,70,50,28
,406,1,76,67,48
,407,1,64,31,28
,408,1,67,36,44
,409,1,67,61,44
,410,2,73,44,56
,411,2,76,42,36
,412,2,85,86,76
,413,1,79,56,40
,414,2,48,33,24
,415,2,85,89,84
,416,2,76,69,48
,417,2,85,83,80
,418,2,58,44,44
,419,2,82,75,76
,420,1,91,83,68
,421,2,97,89,52
,422,1,82,58,52
,423,1,67,61,44
,424,1,82,89,48
,425,1,88,64,68
,426,2,88,78,80
,427,1,73,47,48
,428,2,97,75,68
,429,1,82,47,40
,430,2,67,75,56
,431,2,52,44,20
,432,1,70,64,76
,433,2,39,39,20
,434,2,79,83,52
,435,2,64,72,52
,436,1,48,53,40
,437,2,97,83,88
,438,2,55,72,60
,439,2,79,67,52
,440,1,85,72,76
,441,2,39,19,48
,442,2,70,53,40
,443,2,73,56,48
,444,1,94,89,72
,445,1,55,42,44
,446,2,82,81,76
,447,2,91,89,84
,448,2,85,94,68
,449,1,55,44,20
,450,2,79,67,36
,451,1,88,78,80
,452,1,82,81,72
,453,2,55,53,48
,454,1,85,61,68
,455,1,67,50,44
,456,1,91,83,64
,457,1,73,64,40
,458,2,36,44,44
,459,2,73,94,68
,460,1,94,75,60
,461,1,79,61,52
,462,2,85,81,64
,463,2,91,50,60
,464,1,36,28,48
,465,2,91,86,84
,466,2,70,44,52
,467,2,88,81,68
,468,2,73,69,44
,469,2,67,47,48
,470,2,70,56,68
,471,1,76,56,56
,472,2,94,83,72
,473,1,48,36,24
,474,2,67,31,28
,475,1,76,58,36
,476,2,55,44,40
